id,name,season,team,mp,ws,ws48
schrode01,Dennis Schroder,2017,ATL,2485,3.7,.071
millspa01,Paul Millsap,2017,ATL,2343,6.4,.132
howardw01,Dwight Howard,2017,ATL,2199,8.3,.181
hardati02,Tim Hardaway,2017,ATL,2154,4.8,.107
bazemke01,Kent Bazemore,2017,ATL,1963,2.1,.052
sefolth01,Thabo Sefolosha,2017,ATL,1596,3.3,.098
delanma01,Malcolm Delaney,2017,ATL,1248,0.1,.005
muscami01,Mike Muscala,2017,ATL,1237,3.4,.132
princta02,Taurean Waller-Prince,2017,ATL,981,1.1,.054
korveky01,Kyle Korver,2017,ATL,894,1.6,.088
humphkr01,Kris Humphries,2017,ATL,689,1.6,.115
ilyaser01,Ersan Ilyasova,2017,ATL,633,1.4,.106
dunlemi02,Mike Dunleavy,2017,ATL,475,1.2,.120
bembrde01,DeAndre' Bembry,2017,ATL,371,0.3,.038
caldejo01,Jose Calderon,2017,ATL,247,0.3,.051
scottmi01,Mike Scott,2017,ATL,195,-0.1,-0.014
kellyry01,Ryan Kelly,2017,ATL,110,0.1,.029
pattela01,Lamar Patterson,2017,ATL,40,-0.1,-0.176
nealga01,Gary Neal,2017,ATL,18,-0.1,-0.189
tavarwa01,Edy Tavares,2017,ATL,4,0.0,-0.047
millspa01,Paul Millsap,2016,ATL,2647,10.1,.183
horfoal01,Al Horford,2016,ATL,2631,9.4,.172
korveky01,Kyle Korver,2016,ATL,2401,4.1,.082
teaguje01,Jeff Teague,2016,ATL,2255,5.9,.125
bazemke01,Kent Bazemore,2016,ATL,2083,4.1,.094
sefolth01,Thabo Sefolosha,2016,ATL,1758,4.5,.122
schrode01,Dennis Schroder,2016,ATL,1621,2.2,.064
scottmi01,Mike Scott,2016,ATL,1146,3.2,.132
hardati02,Tim Hardaway,2016,ATL,864,1.9,.105
splitti01,Tiago Splitter,2016,ATL,579,1.7,.144
muscami01,Mike Muscala,2016,ATL,565,1.6,.136
pattela01,Lamar Patterson,2016,ATL,395,0.2,.025
humphkr01,Kris Humphries,2016,ATL,295,0.9,.143
holidju01,Justin Holiday,2016,ATL,263,-0.1,-0.021
macksh01,Shelvin Mack,2016,ATL,179,0.2,.045
hinriki01,Kirk Hinrich,2016,ATL,76,0.0,.019
tavarwa01,Edy Tavares,2016,ATL,73,0.2,.106
korveky01,Kyle Korver,2015,ATL,2418,7.5,.148
millspa01,Paul Millsap,2015,ATL,2390,8.3,.166
horfoal01,Al Horford,2015,ATL,2318,8.7,.179
teaguje01,Jeff Teague,2015,ATL,2228,7.7,.166
carrode01,DeMarre Carroll,2015,ATL,2189,7.0,.154
schrode01,Dennis Schroder,2015,ATL,1516,2.5,.080
bazemke01,Kent Bazemore,2015,ATL,1324,1.6,.057
scottmi01,Mike Scott,2015,ATL,1123,2.7,.115
anticpe01,Pero Antic,2015,ATL,1037,1.5,.070
sefolth01,Thabo Sefolosha,2015,ATL,976,2.5,.121
macksh01,Shelvin Mack,2015,ATL,833,1.3,.075
muscami01,Mike Muscala,2015,ATL,502,1.9,.179
brandel01,Elton Brand,2015,ATL,486,0.7,.070
jenkijo01,John Jenkins,2015,ATL,297,0.9,.147
dayeau01,Austin Daye,2015,ATL,76,0.1,.068
paynead01,Adreian Payne,2015,ATL,19,0.0,-0.039
teaguje01,Jeff Teague,2014,ATL,2542,5.2,.098
millspa01,Paul Millsap,2014,ATL,2482,6.7,.129
korveky01,Kyle Korver,2014,ATL,2408,5.9,.118
carrode01,DeMarre Carroll,2014,ATL,2341,5.8,.119
macksh01,Shelvin Mack,2014,ATL,1490,2.3,.074
scottmi01,Mike Scott,2014,ATL,1482,2.6,.084
willilo02,Lou Williams,2014,ATL,1445,2.6,.087
brandel01,Elton Brand,2014,ATL,1414,3.6,.121
horfoal01,Al Horford,2014,ATL,958,2.8,.141
anticpe01,Pero Antic,2014,ATL,925,1.4,.075
martica01,Cartier Martin,2014,ATL,822,1.1,.064
schrode01,Dennis Schroder,2014,ATL,641,-0.7,-0.054
ayongu01,Gustavo Ayon,2014,ATL,429,0.7,.078
muscami01,Mike Muscala,2014,ATL,215,0.2,.040
jenkijo01,John Jenkins,2014,ATL,158,-0.1,-0.043
nunnaja01,James Nunnally,2014,ATL,54,-0.1,-0.055
cunnija01,Jared Cunningham,2014,ATL,22,-0.1,-0.110
pittmde01,Dexter Pittman,2014,ATL,3,0.0,-0.180
horfoal01,Al Horford,2013,ATL,2756,8.8,.153
smithjo03,Josh Smith,2013,ATL,2683,4.2,.075
teaguje01,Jeff Teague,2013,ATL,2628,6.1,.111
korveky01,Kyle Korver,2013,ATL,2259,6.4,.137
harride01,Devin Harris,2013,ATL,1421,3.3,.111
stevede01,DeShawn Stevenson,2013,ATL,1158,1.5,.061
pachuza01,Zaza Pachulia,2013,ATL,1134,2.7,.116
willilo02,Lou Williams,2013,ATL,1119,2.4,.103
johnsiv01,Ivan Johnson,2013,ATL,1035,2.3,.106
tollian01,Anthony Tolliver,2013,ATL,963,1.2,.059
jenkijo01,John Jenkins,2013,ATL,902,1.7,.091
jonesda02,Dahntay Jones,2013,ATL,381,0.1,.015
scottmi01,Mike Scott,2013,ATL,376,0.9,.110
petrojo01,Johan Petro,2013,ATL,352,0.4,.048
morroan01,Anthony Morrow,2013,ATL,301,0.6,.100
macksh01,Shelvin Mack,2013,ATL,268,0.4,.068
pargoja01,Jannero Pargo,2013,ATL,113,0.1,.041
tylerje01,Jeremy Tyler,2013,ATL,5,0.0,.122
smithjo03,Josh Smith,2012,ATL,2329,6.8,.139
teaguje01,Jeff Teague,2012,ATL,2183,6.0,.131
johnsjo02,Joe Johnson,2012,ATL,2127,6.4,.145
pachuza01,Zaza Pachulia,2012,ATL,1640,5.0,.147
willima02,Marvin Williams,2012,ATL,1500,4.9,.156
hinriki01,Kirk Hinrich,2012,ATL,1237,1.8,.069
johnsiv01,Ivan Johnson,2012,ATL,934,2.2,.113
greenwi01,Willie Green,2012,ATL,922,2.4,.122
mcgratr01,Tracy McGrady,2012,ATL,837,1.6,.094
radmavl01,Vladimir Radmanovic,2012,ATL,755,1.6,.103
pargoja01,Jannero Pargo,2012,ATL,671,1.3,.095
horfoal01,Al Horford,2012,ATL,348,1.3,.180
collija04,Jason Collins,2012,ATL,308,0.2,.025
stackje01,Jerry Stackhouse,2012,ATL,273,0.3,.060
dampier01,Erick Dampier,2012,ATL,83,0.1,.035
sloando01,Donald Sloan,2012,ATL,20,0.0,.012
horfoal01,Al Horford,2011,ATL,2704,10.1,.179
smithjo03,Josh Smith,2011,ATL,2645,6.4,.116
johnsjo02,Joe Johnson,2011,ATL,2554,4.2,.080
crawfja01,Jamal Crawford,2011,ATL,2297,3.4,.071
willima02,Marvin Williams,2011,ATL,1865,4.0,.102
bibbymi01,Mike Bibby,2011,ATL,1674,3.1,.089
pachuza01,Zaza Pachulia,2011,ATL,1244,3.1,.118
teaguje01,Jeff Teague,2011,ATL,963,1.7,.083
evansma01,Maurice Evans,2011,ATL,837,0.9,.050
hinriki01,Kirk Hinrich,2011,ATL,686,0.7,.050
wilkida02,Damien Wilkins,2011,ATL,676,1.5,.104
poweljo01,Josh Powell,2011,ATL,653,-0.2,-0.012
collija04,Jason Collins,2011,ATL,593,0.6,.049
crawfjo02,Jordan Crawford,2011,ATL,160,-0.3,-0.090
thomaet01,Etan Thomas,2011,ATL,82,0.2,.130
armsthi01,Hilton Armstrong,2011,ATL,76,0.1,.054
sypa01,Pape Sy,2011,ATL,21,0.0,-0.047
johnsjo02,Joe Johnson,2010,ATL,2886,8.4,.140
