id,name,season,team,mp_old,mp,ws_old,ws,ws_max,ws48_old,ws48
campbel01,Elden Campbell,2005,BRK,892,390,2.1,0.0,2.1,0.115,0.0031282051282051277
mcguido01,Dominic McGuire,2009,WAS,695,2072,0.0,1.7,0.0,-0.003,0.04
mcguido01,Dominic McGuire,2010,SAC,2072,307,1.7,-0.30000000000000004,1.7,0.04,-0.038351791530944625
mcguido01,Dominic McGuire,2011,CHO,307,760,-0.30000000000000004,0.9,1.7,-0.038351791530944625,0.059
mcguido01,Dominic McGuire,2012,GSW,760,1127,0.9,1.5,1.7,0.059,0.062
mcguido01,Dominic McGuire,2013,IND,1127,387,1.5,0.2,1.7,0.062,0.03544444444444444
outlabo01,Bo Outlaw,2008,ORL,460,7,1.2,0.0,3.6,0.126,-0.071
outlabo01,Bo Outlaw,2005,PHO,1606,214,3.6,0.2,3.6,0.107,0.053
outlabo01,Bo Outlaw,2006,ORL,214,355,0.2,0.7,3.6,0.053,0.101
outlabo01,Bo Outlaw,2007,ORL,355,460,0.7,1.2,3.6,0.101,0.126
padgesc01,Scott Padgett,2005,HOU,547,942,1.9,2.8,1.9,0.17,0.141
padgesc01,Scott Padgett,2006,BRK,942,718,2.8,1.8,2.8,0.141,0.123
padgesc01,Scott Padgett,2007,HOU,718,231,1.8,0.1,2.8,0.123,0.01942857142857143
ewingda01,Daniel Ewing,2007,LAC,971,712,0.3,0.5,0.3,0.017,0.033
cheanca01,Calbert Cheaney,2005,GSW,2067,951,2.3,0.3,2.3,0.054,0.013
cheanca01,Calbert Cheaney,2006,GSW,951,448,0.3,0.0,2.3,0.013,0.0
petermo01,Morris Peterson,2005,TOR,2148,2510,4.9,5.1,4.9,0.11,0.098
petermo01,Morris Peterson,2006,TOR,2510,3140,5.1,5.9,5.1,0.098,0.09
petermo01,Morris Peterson,2007,TOR,3140,1515,5.9,2.9,5.9,0.09,0.091
petermo01,Morris Peterson,2008,NOP,1515,1796,2.9,3.8,5.9,0.091,0.101
petermo01,Morris Peterson,2009,NOP,1796,515,3.8,0.6,5.9,0.101,0.058
petermo01,Morris Peterson,2010,NOP,515,973,0.6,0.8,5.9,0.058,0.039
petermo01,Morris Peterson,2011,OKC,973,23,0.8,0.0,5.9,0.039,0.015
millean02,Andre Miller,2016,MIN,1253,461,2.2,0.9,8.8,0.08379090183559457,0.09977874186550975
millean02,Andre Miller,2005,DEN,2838,2852,8.8,7.0,8.8,0.148,0.119
millean02,Andre Miller,2006,DEN,2852,2937,7.0,6.2,8.8,0.119,0.101
millean02,Andre Miller,2007,DEN,2937,2966,6.2,5.8,8.8,0.101,0.09492852326365475
millean02,Andre Miller,2008,PHI,2966,3016,5.8,8.3,8.8,0.09492852326365475,0.131
millean02,Andre Miller,2009,PHI,3016,2976,8.3,8.8,8.8,0.131,0.141
millean02,Andre Miller,2010,POR,2976,2500,8.8,7.0,8.8,0.141,0.134
millean02,Andre Miller,2011,POR,2500,2650,7.0,7.0,8.8,0.134,0.127
millean02,Andre Miller,2012,DEN,2650,1809,7.0,2.9,8.8,0.127,0.078
millean02,Andre Miller,2013,DEN,1809,2151,2.9,5.4,8.8,0.078,0.12
millean02,Andre Miller,2014,DEN,2151,982,5.4,2.2,8.8,0.12,0.10820162932790223
millean02,Andre Miller,2015,SAC,982,1253,2.2,2.2,8.8,0.10820162932790223,0.08379090183559457
planizo01,Zoran Planinic,2005,BRK,473,515,0.7,0.8,0.7,0.068,0.073
planizo01,Zoran Planinic,2006,BRK,515,596,0.8,0.1,0.8,0.073,0.005
gordoaa01,Aaron Gordon,2016,ORL,797,1863,1.0,5.4,1.0,0.06,0.139
gordoaa01,Aaron Gordon,2017,ORL,1863,2298,5.4,3.7,5.4,0.139,0.077
harriga01,Gary Harris,2016,DEN,719,2439,-0.7,4.0,-0.7,-0.046,0.079
harriga01,Gary Harris,2017,DEN,2439,1782,4.0,4.6,4.0,0.079,0.124
bradlsh01,Shawn Bradley,2005,DAL,773,885,2.3,1.9,2.3,0.145,0.102
scolalu01,Luis Scola,2016,TOR,1659,1636,4.4,3.3,8.6,0.126,0.098
scolalu01,Luis Scola,2017,BRK,1636,461,3.3,0.8,8.6,0.098,0.082
scolalu01,Luis Scola,2009,HOU,2024,2488,6.5,8.6,6.5,0.154,0.165
scolalu01,Luis Scola,2010,HOU,2488,2671,8.6,6.3,8.6,0.165,0.114
scolalu01,Luis Scola,2011,HOU,2671,2412,6.3,5.5,8.6,0.114,0.11
scolalu01,Luis Scola,2012,HOU,2412,2067,5.5,3.4,8.6,0.11,0.08
scolalu01,Luis Scola,2013,PHO,2067,2184,3.4,4.4,8.6,0.08,0.096
scolalu01,Luis Scola,2014,IND,2184,1399,4.4,2.5,8.6,0.096,0.084
scolalu01,Luis Scola,2015,IND,1399,1659,2.5,4.4,8.6,0.084,0.126
stoudsa01,Salim Stoudamire,2008,ATL,1034,402,0.8,0.3,1.2,0.036,0.031
